DATE,SECTOR,KEYWORD,CNT
20240704,6G,케이엠더블유,1
20240712,6G,케이엠더블유,1
20240730,스마트팩토리,심보틱,2
20240801,6G,RFHIC,1
20240809,스마트팩토리,심보틱,1
20240819,6G,이노와이어리스,1
20240821,6G,이노와이어리스,1
20240827,6G,이노와이어리스,2
20240829,6G,케이엠더블유,1
20240902,스마트팩토리,스마트팩토리,1
20240904,자율주행,라이다,1
20240908,6G,케이엠더블유,1
20240908,스마트팩토리,스마트팩토리,1
20240909,자율주행,에스오에스랩,1
20240918,6G,쏠리드,1
20240923,6G,RFHIC,1
20240923,6G,5G,1
20240923,자율주행,라이다,1
20240924,자율주행,에스오에스랩,2
20240927,자율주행,에스오에스랩,1
20240928,자율주행,라이다,1
20241004,6G,스몰셀,1
20241004,스마트팩토리,스마트팩토리,3
20241006,6G,케이엠더블유,1
20241007,자율주행,라이다,1
20241010,6G,이노와이어리스,1
20241010,2차 전지,2차 전지,1
20241012,스마트팩토리,심보틱,1
20241014,6G,5G,1
20241015,6G,이노와이어리스,2
20241016,6G,이노와이어리스,1
20241016,6G,케이엠더블유,1
20241017,6G,쏠리드,1
20241018,6G,5G,1
20241022,6G,RFHIC,1
20241023,6G,RFHIC,1
20241023,자율주행,에스오에스랩,1
20241024,6G,RFHIC,1
20241024,스마트팩토리,스마트팩토리,1
20241028,6G,5G,1
20241029,자율주행,에스오에스랩,1
20241031,6G,쏠리드,1
20241101,6G,쏠리드,1
20241104,스마트팩토리,스마트팩토리,1
20241107,자율주행,라이다,1
20241108,6G,쏠리드,1
20241109,6G,RFHIC,1
20241111,6G,이노와이어리스,1
20241112,6G,케이엠더블유,1
20241112,자율주행,라이다,1
20241112,2차 전지,2차 전지,1
20241113,6G,RFHIC,2
20241113,6G,5G,1
20241114,6G,케이엠더블유,1
20241114,6G,5G,1
20241114,자율주행,라이다,1
20241118,6G,이노와이어리스,1
20241118,자율주행,에스오에스랩,1
20241119,스마트팩토리,심보틱,1
20241120,6G,5G,1
20241121,6G,5G,1
20241121,스마트팩토리,스마트팩토리,1
20241122,6G,RFHIC,1
20241125,자율주행,라이다,1
20241127,스마트팩토리,심보틱,2
20241127,자율주행,에스오에스랩,1
20241127,자율주행,라이다,1
20241128,자율주행,에스오에스랩,1
20241128,자율주행,라이다,1
20241129,자율주행,에스오에스랩,1
20241202,스마트팩토리,스마트팩토리,1
20241202,자율주행,에스오에스랩,1
20241203,화장품,실리콘투,1
20241204,6G,이노와이어리스,2
20241204,6G,5G,1
20241204,자율주행,에스오에스랩,1
20241205,6G,쏠리드,1
20241208,엔터,JYP,2
20241209,엔터,JYP,2
20241210,자율주행,라이다,1
20241211,6G,쏠리드,2
20241211,스마트팩토리,스마트팩토리,1
20241212,6G,쏠리드,2
20241213,6G,케이엠더블유,1
20241214,6G,이노와이어리스,1
20241217,6G,케이엠더블유,1
20241217,6G,쏠리드,2
20241217,화장품,실리콘투,1
20241218,6G,쏠리드,1
20241218,자율주행,에스오에스랩,3
20241218,자율주행,라이다,1
20241218,자율주행,웨이모,1
20241218,화장품,실리콘투,2
20241219,6G,쏠리드,1
20241219,스마트팩토리,스마트팩토리,1
20241219,자율주행,에스오에스랩,1
20241220,스마트팩토리,심보틱,1
20241220,자율주행,에스오에스랩,1
20241220,자율주행,라이다,1
20241223,6G,이노와이어리스,1
20241224,자율주행,에스오에스랩,1
20241225,6G,5G,2
20241226,6G,케이엠더블유,2
20241226,6G,쏠리드,4
20241226,6G,5G,2
20241226,자율주행,에스오에스랩,4
20241226,자율주행,라이다,1
20241227,6G,쏠리드,2
20241227,엔터,와이지 엔터,1
20241227,자율주행,에스오에스랩,2
20241230,6G,5G,8
20241231,6G,이노와이어리스,1
20241231,6G,5G,1
20250101,스마트팩토리,심보틱,1
20250102,6G,RFHIC,1
20250102,자율주행,라이다,1
20250103,6G,쏠리드,2
20250103,6G,RFHIC,1
20250103,2차 전지,2차 전지,1
20250106,6G,이노와이어리스,1
20250106,2차 전지,2차 전지,2
20250107,6G,쏠리드,5
20250107,스마트팩토리,스마트팩토리,1
20250107,자율주행,에스오에스랩,5
20250107,자율주행,라이다,1
20250108,6G,쏠리드,1
20250108,6G,5G,1
20250108,자율주행,에스오에스랩,2
20250108,자율주행,라이다,3
20250109,엔터,에스엠,1
20250109,엔터,와이지 엔터,1
20250109,스마트팩토리,스마트팩토리,1
20250109,자율주행,에스오에스랩,1
20250110,엔터,에스엠,1
20250110,스마트팩토리,스마트팩토리,1
20250110,자율주행,에스오에스랩,5
20250112,6G,이노와이어리스,1
20250112,자율주행,라이다,1
20250112,2차 전지,2차 전지,1
20250113,자율주행,라이다,1
20250113,2차 전지,2차 전지,1
20250114,엔터,JYP,1
20250115,6G,이노와이어리스,1
20250115,6G,케이엠더블유,1
20250115,6G,RFHIC,1
20250115,6G,5G,3
20250115,스마트팩토리,스마트팩토리,1
20250115,자율주행,에스오에스랩,3
20250116,6G,5G,1
20250116,스마트팩토리,심보틱,1
20250116,스마트팩토리,스마트팩토리,1
20250116,자율주행,에스오에스랩,1
20250116,화장품,아모레퍼시픽,1
20250117,6G,쏠리드,2
20250117,엔터,와이지 엔터,1
20250117,스마트팩토리,심보틱,5
20250119,엔터,JYP,1
20250120,엔터,와이지 엔터,1
20250120,2차 전지,2차 전지,1
20250122,6G,케이엠더블유,1
20250122,6G,쏠리드,3
20250123,6G,쏠리드,1
20250123,6G,6G,4
20250123,엔터,와이지 엔터,1
20250123,스마트팩토리,스마트팩토리,1
20250123,자율주행,에스오에스랩,5
20250124,6G,쏠리드,1
20250124,자율주행,에스오에스랩,4
20250124,자율주행,라이다,1
20250127,6G,5G,1
20250128,6G,쏠리드,1
20250130,6G,6G,1
20250130,자율주행,에스오에스랩,1
20250131,스마트팩토리,스마트팩토리,1
20250131,자율주행,에스오에스랩,1
20250131,2차 전지,2차 전지,1
20250203,스마트팩토리,스마트팩토리,2
20250203,자율주행,에스오에스랩,1
20250203,자율주행,라이다,1
20250203,2차 전지,2차 전지,1
20250203,화장품,아모레퍼시픽,1
20250204,6G,이노와이어리스,1
20250204,스마트팩토리,스마트팩토리,1
20250205,반도체,AMD,1
20250205,6G,RFHIC,1
20250205,6G,5G,2
20250205,스마트팩토리,스마트팩토리,1
20250205,자율주행,라이다,2
20250206,6G,이노와이어리스,1
20250206,6G,6G,2
20250206,6G,5G,1
20250206,엔터,와이지 엔터,1
20250206,자율주행,에스오에스랩,1
20250206,자율주행,라이다,2
20250207,6G,RFHIC,2
20250207,엔터,와이지 엔터,2
20250207,자율주행,에스오에스랩,3
20250207,화장품,아모레퍼시픽,1
20250208,6G,RFHIC,1
20250210,6G,스몰셀,1
20250210,6G,5G,1
20250211,엔터,에스엠,3
20250211,엔터,JYP,1
20250213,6G,RFHIC,1
20250214,6G,이노와이어리스,1
20250214,6G,RFHIC,1
20250214,자율주행,에스오에스랩,2
20250216,스마트팩토리,스마트팩토리,1
20250217,6G,스몰셀,1
20250217,엔터,에스엠,1
20250218,6G,쏠리드,3
20250218,6G,5G,1
20250218,엔터,와이지 엔터,1
20250218,자율주행,라이다,1
20250219,6G,스타링크,1
20250219,6G,RFHIC,1
20250219,엔터,한한령,1
20250219,자율주행,라이다,1
20250220,6G,RFHIC,1
20250220,엔터,와이지 엔터,2
20250220,스마트팩토리,스마트팩토리,1
20250220,자율주행,라이다,1
20250220,2차 전지,2차 전지,2
20250221,6G,스타링크,1
20250221,6G,5G,1
20250221,엔터,와이지 엔터,1
20250221,2차 전지,2차 전지,1
20250221,화장품,실리콘투,1
20250222,화장품,실리콘투,1
20250223,6G,스타링크,1
20250224,엔터,에스엠,2
20250224,엔터,와이지 엔터,1
20250224,스마트팩토리,스마트팩토리,1
20250224,2차 전지,2차 전지,1
20250224,화장품,아모레퍼시픽,1
20250224,화장품,실리콘투,1
20250225,엔터,JYP,1
20250225,자율주행,라이다,1
20250225,화장품,코스맥스,1
20250226,6G,쏠리드,2
20250226,6G,RFHIC,1
20250226,6G,5G,1
20250226,스마트팩토리,스마트팩토리,3
20250226,자율주행,에스오에스랩,2
20250226,화장품,실리콘투,5
20250227,6G,쏠리드,1
20250227,6G,6G,1
20250227,엔터,JYP,1
20250228,엔터,와이지 엔터,4
20250228,화장품,실리콘투,1
20250301,반도체,AMD,1
20250302,화장품,실리콘투,1
20250303,6G,스몰셀,1
20250303,엔터,JYP,1
20250304,6G,스몰셀,7
20250304,6G,5G,4
20250304,엔터,한한령,1
20250304,엔터,K-POP,1
20250304,화장품,실리콘투,1
20250305,6G,이노와이어리스,1
20250305,6G,스타링크,5
20250305,6G,5G,1
20250305,화장품,코스맥스,1
20250306,6G,이노와이어리스,1
20250306,6G,RFHIC,2
20250306,6G,6G,1
20250306,엔터,에스엠,2
20250306,스마트팩토리,스마트팩토리,2
20250307,6G,6G,1
20250307,6G,5G,1
20250307,엔터,에스엠,1
20250307,엔터,와이지 엔터,1
20250308,6G,스타링크,1
20250308,스마트팩토리,스마트팩토리,1
20250309,6G,6G,3
20250309,화장품,실리콘투,1
20250310,6G,스타링크,3
20250310,6G,쏠리드,1
20250310,6G,5G,1
20250310,스마트팩토리,스마트팩토리,1
20250310,화장품,실리콘투,1
20250311,6G,스타링크,1
20250312,6G,스타링크,1
20250312,6G,쏠리드,1
20250312,6G,6G,1
20250312,엔터,와이지 엔터,2
20250312,스마트팩토리,스마트팩토리,2
20250312,자율주행,라이다,2
20250312,자율주행,웨이모,2
20250312,자율주행,자율주행,1
20250312,화장품,코스맥스,1
20250313,스마트팩토리,스마트팩토리,5
20250314,스마트팩토리,스마트팩토리,2
20250314,자율주행,라이다,1
20250315,6G,스타링크,1
20250316,6G,6G,3
20250317,6G,케이엠더블유,2
20250317,6G,RFHIC,1
20250317,6G,6G,2
20250317,스마트팩토리,심보틱,1
20250317,스마트팩토리,스마트팩토리,1
20250317,자율주행,라이다,1
20250318,6G,스몰셀,1
20250318,6G,6G,1
20250318,6G,5G,1
20250318,엔터,에스엠,1
20250318,엔터,JYP,6
20250318,엔터,한한령,1
20250318,스마트팩토리,스마트팩토리,3
20250318,자율주행,에스오에스랩,1
20250318,자율주행,라이다,3
20250318,화장품,아모레퍼시픽,1
20250319,6G,스타링크,1
20250319,6G,쏠리드,6
20250319,6G,6G,2
20250319,엔터,JYP,2
20250319,스마트팩토리,스마트팩토리,2
20250319,2차 전지,2차 전지,1
20250319,화장품,실리콘투,1
20250320,6G,쏠리드,1
20250320,6G,5G,1
20250320,엔터,JYP,4
20250320,엔터,K-POP,1
20250320,스마트팩토리,스마트팩토리,1
20250320,자율주행,라이다,1
20250320,2차 전지,2차 전지,1
20250320,화장품,실리콘투,1
20250321,6G,6G,1
20250321,엔터,와이지 엔터,1
20250321,엔터,한한령,3
20250323,6G,쏠리드,1
20250323,엔터,한한령,1
20250324,반도체,AMD,1
20250324,6G,6G,1
20250324,6G,5G,1
20250324,엔터,와이지 엔터,2
20250324,자율주행,라이다,1
20250324,화장품,아모레퍼시픽,1
20250325,반도체,TSMC,1
20250325,6G,6G,2
20250325,엔터,에스엠,1
20250325,스마트팩토리,스마트팩토리,1
20250326,6G,스타링크,1
20250326,엔터,JYP,1
20250326,엔터,와이지 엔터,1
20250326,스마트팩토리,스마트팩토리,1
20250326,자율주행,웨이모,1
20250326,화장품,아모레퍼시픽,1
20250327,반도체,AMD,1
20250327,6G,스타링크,2
20250327,엔터,에스엠,3
20250327,엔터,JYP,2
20250327,엔터,한한령,1
20250327,스마트팩토리,스마트팩토리,1
20250327,자율주행,에스오에스랩,1
20250327,자율주행,라이다,1
20250327,자율주행,웨이모,1
20250327,화장품,코스맥스,1
20250328,6G,스타링크,1
20250328,스마트팩토리,스마트팩토리,1
20250329,6G,스타링크,1
20250330,6G,쏠리드,1
20250330,6G,5G,1
20250330,엔터,한한령,1
20250331,6G,스타링크,1
20250331,6G,6G,1
20250331,스마트팩토리,스마트팩토리,1
20250331,화장품,실리콘투,1
20250401,6G,6G,1
20250401,스마트팩토리,아마존,1
20250401,2차 전지,2차 전지,1
20250401,화장품,아모레퍼시픽,1
20250402,엔터,에스엠,1
20250402,엔터,한한령,1
20250402,자율주행,에스오에스랩,1
20250402,자율주행,라이다,1
20250402,화장품,코스맥스,1
20250402,화장품,실리콘투,1
20250403,6G,스타링크,2
20250403,6G,5G,2
20250403,스마트팩토리,스마트팩토리,1
20250403,화장품,실리콘투,1
20250404,6G,스타링크,1
20250404,엔터,하이브,1
20250404,엔터,와이지 엔터,1
20250404,스마트팩토리,스마트팩토리,1
20250404,화장품,코스맥스,2
20250406,엔터,에스엠,1
20250406,자율주행,웨이모,1
20250407,6G,5G,1
20250407,엔터,JYP,1
20250407,자율주행,라이다,1
20250407,2차 전지,2차 전지,1
20250407,화장품,코스맥스,1
20250408,6G,케이엠더블유,1
20250408,6G,쏠리드,1
20250408,6G,RFHIC,1
20250408,6G,6G,2
20250408,엔터,와이지 엔터,1
20250408,자율주행,라이다,2
20250408,2차 전지,2차 전지,3
20250409,반도체,AMD,1
20250409,6G,스타링크,1
20250409,6G,6G,1
20250409,엔터,에스엠,1
20250409,엔터,JYP,2
20250409,스마트팩토리,아마존,1
20250409,2차 전지,2차 전지,2
20250410,6G,쏠리드,1
20250410,엔터,에스엠,1
20250410,엔터,한한령,1
20250410,스마트팩토리,스마트팩토리,1
20250410,자율주행,웨이모,1
20250411,6G,5G,1
20250411,2차 전지,2차 전지,1
20250411,화장품,실리콘투,1
20250413,화장품,실리콘투,1
20250414,엔터,한한령,1
20250414,스마트팩토리,스마트팩토리,1
20250414,자율주행,웨이모,1
20250414,2차 전지,2차 전지,1
20250415,반도체,AMD,4
20250415,6G,5G,1
20250415,엔터,JYP,1
20250415,자율주행,라이다,1
20250415,자율주행,웨이모,1
20250415,2차 전지,2차 전지,2
20250415,화장품,아모레퍼시픽,2
20250415,화장품,코스맥스,2
20250415,화장품,실리콘투,1
20250416,6G,스타링크,1
20250416,6G,RFHIC,1
20250416,자율주행,에스오에스랩,1
20250416,자율주행,라이다,1
20250416,2차 전지,2차 전지,1
20250416,화장품,코스맥스,1
20250416,화장품,실리콘투,1
20250417,반도체,AMD,3
20250417,6G,RFHIC,1
20250417,엔터,한한령,2
20250418,6G,케이엠더블유,1
20250418,엔터,한한령,2
20250420,6G,케이엠더블유,1
20250420,엔터,한한령,1
20250420,스마트팩토리,스마트팩토리,1
20250421,엔터,에스엠,1
20250421,스마트팩토리,스마트팩토리,1
20250421,자율주행,라이다,2
20250422,6G,스타링크,1
20250422,6G,RFHIC,1
20250422,6G,5G,1
20250422,스마트팩토리,스마트팩토리,1
20250422,자율주행,에스오에스랩,1
20250423,자율주행,에스오에스랩,1
20250423,자율주행,라이다,3
20250423,화장품,아모레퍼시픽,1
20250424,6G,쏠리드,1
20250424,엔터,JYP,2
20250424,자율주행,에스오에스랩,1
20250424,자율주행,라이다,1
20250424,화장품,코스맥스,1
20250425,6G,이노와이어리스,1
20250425,6G,스타링크,1
20250425,6G,쏠리드,2
20250425,엔터,하이브,1
20250425,자율주행,에스오에스랩,1
20250425,자율주행,라이다,2
20250425,화장품,아모레퍼시픽,1
20250426,6G,케이엠더블유,1
20250426,자율주행,라이다,1
20250427,6G,스타링크,2
20250427,6G,쏠리드,3
20250427,엔터,JYP,2
20250428,6G,스타링크,1
20250428,6G,쏠리드,1
20250428,6G,6G,1
20250428,엔터,와이지 엔터,1
20250428,자율주행,웨이모,1
20250428,2차 전지,2차 전지,1
20250429,6G,스타링크,2
20250429,6G,RFHIC,1
20250429,엔터,하이브,2
20250429,엔터,한한령,6
20250429,스마트팩토리,아마존,2
20250430,엔터,하이브,3
20250430,엔터,에스엠,1
20250430,엔터,한한령,2
20250430,스마트팩토리,스마트팩토리,1
20250430,자율주행,라이다,1
20250430,자율주행,웨이모,2
20250430,2차 전지,2차 전지,1
20250430,화장품,아모레퍼시픽,5
20250501,엔터,한한령,1
20250502,엔터,JYP,1
20250502,엔터,한한령,3
20250502,자율주행,라이다,2
20250502,자율주행,웨이모,2
20250502,2차 전지,2차 전지,1
20250502,화장품,아모레퍼시픽,1
20250503,2차 전지,2차 전지,1
20250503,화장품,아모레퍼시픽,1
20250504,자율주행,웨이모,1
20250504,2차 전지,2차 전지,1
20250505,6G,쏠리드,1
20250505,엔터,JYP,2
20250505,엔터,한한령,1
20250506,반도체,AMD,1
20250506,엔터,JYP,1
20250506,스마트팩토리,스마트팩토리,1
20250507,반도체,AMD,8
20250507,6G,RFHIC,3
20250507,엔터,에스엠,1
20250507,엔터,JYP,1
20250507,엔터,한한령,2
20250507,스마트팩토리,스마트팩토리,2
20250507,자율주행,라이다,2
20250507,자율주행,웨이모,2
20250507,화장품,실리콘투,1
20250508,반도체,AMD,1
20250508,6G,스타링크,2
20250508,6G,5G,1
20250508,엔터,에스엠,1
20250508,엔터,한한령,2
20250508,스마트팩토리,심보틱,1
20250508,화장품,아모레퍼시픽,1
20250509,반도체,AMD,1
20250509,6G,스타링크,1
20250509,엔터,하이브,1
20250509,엔터,에스엠,1
20250509,엔터,와이지 엔터,9
20250509,엔터,한한령,1
20250509,자율주행,라이다,1
20250510,스마트팩토리,스마트팩토리,1
20250511,6G,스타링크,2
20250511,엔터,에스엠,1
20250512,6G,6G,5
20250512,엔터,에스엠,1
20250512,엔터,JYP,1
20250512,엔터,와이지 엔터,2
20250512,자율주행,에스오에스랩,7
20250512,자율주행,웨이모,1
20250512,화장품,아모레퍼시픽,2
20250512,화장품,실리콘투,3
20250513,반도체,TSMC,1
20250513,반도체,AMD,1
20250513,엔터,한한령,3
20250513,자율주행,에스오에스랩,1
20250513,화장품,코스맥스,3
20250513,화장품,실리콘투,4
20250514,6G,스타링크,3
20250514,6G,쏠리드,1
20250514,엔터,JYP,1
20250514,엔터,와이지 엔터,1
20250514,엔터,한한령,1
20250514,자율주행,라이다,1
20250514,2차 전지,2차 전지,2
20250514,화장품,실리콘투,2
20250514,화장품,K-뷰티,1
20250515,반도체,AMD,2
20250515,6G,쏠리드,2
20250515,엔터,에스엠,1
20250515,엔터,JYP,5
